,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
203,804.30%,AMG,Affiliated Managers Group Inc,447.16%,KMB,Kimberly-Clark,684.67%,IVZ,Invesco Ltd.
204,801.50%,GIS,General Mills,443.66%,PLD,Prologis,684.58%,TRV,The Travelers Companies Inc.
205,799.41%,TRV,The Travelers Companies Inc.,440.66%,EXC,Exelon Corp.,681.56%,NSC,Norfolk Southern Corp.
206,798.86%,NI,NiSource Inc.,432.75%,MRO,Marathon Oil Corp.,678.45%,KSU,Kansas City Southern
207,794.93%,JEC,Jacobs Engineering Group,414.82%,CBG,CBRE Group,672.30%,VTR,Ventas Inc
208,781.07%,BAX,Baxter International Inc.,409.77%,MGM,MGM Resorts International,671.88%,SIG,Signet Jewelers
209,780.30%,SLG,SL Green Realty,401.61%,WMB,Williams Cos.,670.96%,AXP,American Express Co
210,778.66%,XOM,Exxon Mobil Corp.,399.90%,STX,Seagate Technology,669.00%,NTRS,Northern Trust Corp.
211,775.91%,WEC,Wec Energy Group Inc,395.92%,TMO,Thermo Fisher Scientific,660.26%,BEN,Franklin Resources
212,766.68%,DIS,The Walt Disney Company,395.55%,ADM,Archer-Daniels-Midland Co,656.02%,AAP,Advance Auto Parts
213,761.05%,HOG,Harley-Davidson,393.16%,COL,Rockwell Collins,646.84%,XEC,Cimarex Energy
214,754.76%,CCL,Carnival Corp.,393.14%,CAG,Conagra Brands,646.42%,AON,Aon plc
215,744.42%,CINF,Cincinnati Financial,390.57%,LLY,Lilly (Eli) & Co.,642.84%,CINF,Cincinnati Financial
216,743.76%,BK,The Bank of New York Mellon Corp.,383.54%,EMR,Emerson Electric Company,638.48%,PNR,Pentair Ltd.
217,736.65%,MYL,Mylan N.V.,375.44%,AVY,Avery Dennison Corp,622.66%,EXC,Exelon Corp.
218,736.14%,NOV,National Oilwell Varco Inc.,374.59%,FLR,Fluor Corp.,619.38%,COL,Rockwell Collins
219,735.83%,PEG,Public Serv. Enterprise Inc.,369.72%,CMA,Comerica Inc.,613.68%,CMG,Chipotle Mexican Grill
220,734.22%,HUM,Humana Inc.,367.13%,LYB,LyondellBasell,609.39%,ETR,Entergy Corp.
221,732.28%,CAT,Caterpillar Inc.,364.67%,PWR,Quanta Services Inc.,608.22%,VRTX,Vertex Pharmaceuticals Inc
222,732.00%,PG,Procter & Gamble,361.93%,RSG,Republic Services Inc,608.16%,PPG,PPG Industries
223,725.10%,PNW,Pinnacle West Capital,361.39%,EMN,Eastman Chemical,602.60%,PNC,PNC Financial Services
224,717.38%,CVX,Chevron Corp.,360.04%,IT,Gartner Inc,596.13%,CBG,CBRE Group
225,709.52%,PKG,Packaging Corporation of America,353.49%,AWK,American Water Works Company Inc,594.88%,PLD,Prologis
226,706.86%,DOV,Dover Corp.,351.54%,GRA,W.R. Grace,583.57%,HCP,HCP Inc.
227,693.74%,BBT,BB&T Corporation,340.70%,TSN,Tyson Foods,572.46%,JBL,Jabil Circuit
228,693.13%,WMT,Wal-Mart Stores,339.81%,PCG,PG&E Corp.,569.95%,DOV,Dover Corp.
229,682.87%,HAS,Hasbro Inc.,339.18%,ES,Eversource Energy,566.15%,HRB,Block H&R
